auth_user_id,exam_name,actual_mark,pass_mark,result_status
623a941afb492fa5df23fdf8,Class 10 - Weekly MCQ Exam - April Week 3,0.0,6,Fail
623a5759fb492fa5df1761dc,Class 10 - Weekly MCQ Exam - April Week 3,0.0,6,Fail
623a4076fb492fa5df111aae,Class 10 - Weekly MCQ Exam - April Week 3,0.0,6,Fail
623ac8e1fb492fa5df2ca08e,Class 10 - Weekly MCQ Exam - April Week 3,0.0,6,Fail
623ad5effb492fa5df2e92ab,Class 10 - Weekly MCQ Exam - April Week 3,0.0,6,Fail
623a6c3efb492fa5df1c3926,Class 10 - Weekly MCQ Exam - April Week 3,0.0,6,Fail
623a5e1efb492fa5df190b33,Class 10 - Weekly MCQ Exam - April Week 3,7.25,6,Pass
623a9324fb492fa5df23d212,Class 10 - Weekly MCQ Exam - April Week 3,8.5,6,Pass
623a4daffb492fa5df14de4a,Class 10 - Weekly MCQ Exam - April Week 3,8.25,6,Pass
623aa09afb492fa5df262d0e,Class 10 - Weekly MCQ Exam - April Week 3,10.75,6,Pass
623aa212fb492fa5df266d33,Class 10 - Weekly MCQ Exam - April Week 3,8.0,6,Pass
623a3979fb492fa5df0ee826,Class 10 - Weekly MCQ Exam - April Week 3,10.5,6,Pass
623ad5a9fb492fa5df2e88aa,Class 10 - Weekly MCQ Exam - April Week 3,5.25,6,Fail
623a4e76fb492fa5df1513f2,Class 10 - Weekly MCQ Exam - April Week 3,9.0,6,Pass
623a3c91fb492fa5df0fe5fc,Class 10 - Weekly MCQ Exam - April Week 3,10.25,6,Pass
623a7246fb492fa5df1d806e,Class 10 - Weekly MCQ Exam - April Week 3,10.25,6,Pass
623a675ffb492fa5df1b28a9,Class 10 - Weekly MCQ Exam - April Week 3,11.5,6,Pass
623a4337fb492fa5df11ec48,Class 10 - Weekly MCQ Exam - April Week 3,11.5,6,Pass
623acf03fb492fa5df2d8ca8,Class 10 - Weekly MCQ Exam - April Week 3,11.5,6,Pass
623a8675fb492fa5df217c5b,Class 10 - Weekly MCQ Exam - April Week 3,12.75,6,Pass
623a4e7cfb492fa5df1515a9,Class 10 - Weekly MCQ Exam - April Week 3,1.25,6,Fail
623a7666fb492fa5df1e5873,Class 10 - Weekly MCQ Exam - April Week 3,2.5,6,Fail
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - April Week 3,3.75,6,Fail
623abc75fb492fa5df2ab84a,Class 10 - Weekly MCQ Exam - April Week 3,3.75,6,Fail
623a4fb2fb492fa5df156846,Class 10 - Weekly MCQ Exam - April Week 3,3.75,6,Fail
623a9db6fb492fa5df25ad86,Class 10 - Weekly MCQ Exam - April Week 3,3.75,6,Fail
623abf33fb492fa5df2b259d,Class 10 - Weekly MCQ Exam - April Week 3,5.0,6,Fail
623aae3efb492fa5df28735a,Class 10 - Weekly MCQ Exam - April Week 3,5.0,6,Fail
623a71c6fb492fa5df1d65bb,Class 10 - Weekly MCQ Exam - April Week 3,5.0,6,Fail
623a52bafb492fa5df163464,Class 10 - Weekly MCQ Exam - April Week 3,6.25,6,Pass
623a6d59fb492fa5df1c764b,Class 10 - Weekly MCQ Exam - April Week 3,6.25,6,Pass
623a46d7fb492fa5df12fa61,Class 10 - Weekly MCQ Exam - April Week 3,6.25,6,Pass
623aa5e9fb492fa5df271253,Class 10 - Weekly MCQ Exam - April Week 3,6.25,6,Pass
623ab8d2fb492fa5df2a268e,Class 10 - Weekly MCQ Exam - April Week 3,6.25,6,Pass
623aac4ffb492fa5df2821e1,Class 10 - Weekly MCQ Exam - April Week 3,6.25,6,Pass
623a7666fb492fa5df1e5873,Class 10 - Weekly MCQ Exam - April Week 3,8.75,6,Pass
623ab34ffb492fa5df2944b6,Class 10 - Weekly MCQ Exam - April Week 3,8.75,6,Pass
623ab8abfb492fa5df2a2075,Class 10 - Weekly MCQ Exam - April Week 3,8.75,6,Pass
623ab51afb492fa5df298ed5,Class 10 - Weekly MCQ Exam - April Week 3,8.75,6,Pass
623aa336fb492fa5df269e65,Class 10 - Weekly MCQ Exam - April Week 3,8.75,6,Pass
623a3486fb492fa5df0d370d,Class 10 - Weekly MCQ Exam - April Week 3,10.0,6,Pass
623a9c83fb492fa5df2577ed,Class 10 - Weekly MCQ Exam - April Week 3,10.0,6,Pass
623a6ae8fb492fa5df1beee1,Class 10 - Weekly MCQ Exam - April Week 3,10.0,6,Pass
623a4e27fb492fa5df14feb0,Class 10 - Weekly MCQ Exam - April Week 3,10.0,6,Pass
623abbadfb492fa5df2a98e7,Class 10 - Weekly MCQ Exam - April Week 3,10.0,6,Pass
623a925efb492fa5df23ae5a,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
623a8ea6fb492fa5df2300d1,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
623a6229fb492fa5df19fdde,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
623aca29fb492fa5df2cd1ff,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
623a71d0fb492fa5df1d67dc,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
623a3243fb492fa5df0c6751,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
623ac953fb492fa5df2cb1d9,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
623a7b9efb492fa5df1f6373,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
623aa09cfb492fa5df262d86,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
623a574ffb492fa5df175f7d,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
623ab88bfb492fa5df2a1b70,Class 10 - Weekly MCQ Exam - April Week 3,11.25,6,Pass
